brand,categories,colors,prices.amountMax,,
Naturalizer,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Heels,Sandals","Silver,Cream Watercolor Floral",55.99,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",Grey,47,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Casual Shoes,All Women's Shoes",Grey,35.25,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers",Black,24.75,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Slippers",Grey,33,,
Soft Ones,"Womens Shoes,Clothing,Women's Shoes,Baby & Kids Shoes,Baby & Toddler Shoes,All Womens Shoes,Shoes,All Women's Shoes",Brown Tweed,14,,
MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes","Light Blue,Brown,Navy,Purple,Burgundy,Black,Natural",24,,
MUK LUKS,"MUK LUKS,Womens,Women's Casual Shoes,Clothing,Women's Shoes,Women's Slippers,Slippers,Shoes,All Women's Shoes","Light Blue,Brown,Navy,Purple,Burgundy,Black,Natural",24,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Navy,Grey",59,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",Brown,59,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots",Brown,59,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots","Black,Medium Beige",95,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Boots","Grey,Dark Brown,Chestnut,Brown",68,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Boots","Grey,Dark Brown,Chestnut,Brown",68,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots","Grey,Dark Brown,Taupe",69,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Grey,Pewter",50,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Grey,Pewter",50,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Grey,Pewter",50,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots","Charcoal Gray,Grey,Dark Brown,Moccasin,Light Gray,Medium Brown",57,,
MUK LUKS,"Clothing,Shoes,Women's Shoes,Women's Winter Boots,All Women's Shoes,Women's Boots","Charcoal Gray,Grey,Dark Brown,Moccasin,Light Gray,Medium Brown",59,,
muk luks,"Womens,Shoes,Sandals,MUK LUKS,Clothing,Women's Shoes,All Women's Shoes",White,36,,
Sloggers,"Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,All Women's Shoes","N/a,Kiwi,Blue,Black",32.44,,
Dr. Scholl's,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes,All Women's Shoes,Home Improvement,Work Safety Clothing and Equipment",Black,32.98,,
Genuine Dickies,"Clothing,Shoes,Women's Shoes,All Women's Shoes,Women's Casual Shoes,Women's Slippers","Black,Tan",19.97,,
Mo Mo,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Fuchsia",24,,
Mo Mo,"Clothing,Shoes,Women's Shoes,All Women's Shoes","Black,Brown",24,,
Mo Mo,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Buckskin,36,,
SKECHERS,"Womens,Sneakers,Womens Casual Shoes,Womens Shoes,Clothing,Women's Shoes,Shoes,Athletic Shoes,Skechers,All Women's Shoes",Black,85,,
SKECHERS,"Womens,Sneakers,Womens Casual Shoes,Womens Shoes,Clothing,Women's Shoes,Shoes,Athletic Shoes,Skechers,All Women's Shoes",Black,85,,
SKECHERS,"Sneakers,Womens Shoes,Clothing,Work Safety Clothing and Equipment,Shoes,Skechers,All Women's Shoes,Womens,Women's Shoes,Home Improvement,All Womens Shoes,Athletic Shoes,Women's Work & Safety Shoes",Black,75,,
SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes","Taupe,White",49.99,,
SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes","Taupe,White",49.99,,
SKECHERS,"Womens,Womens Shoes,Clothing,Women's Shoes,All Womens Shoes,Shoes,Sandals,Skechers,All Women's Shoes","Taupe,White",49.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Womens,Clothing,Women's Shoes,Boots,Shoes,Skechers,All Women's Shoes","Chestnut,Chocolate,Black",74.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
SKECHERS,"Sneakers,Women's Athletic Shoes,Womens Shoes,Clothing,Shoes,Skechers,All Women's Shoes,Womens,Women's Casual Shoes,Womens Casual Shoes,Women's Shoes,All Womens Shoes,Athletic Shoes",Black,64.99,,
